Socioeconomic Score,Study Hours,Sleep Hours,Attendance (%),Grades
1.5542876893029594,-0.6119503593508324,0.11147067269209796,-0.4743368063746122,47.0
1.161605324207493,-0.7173856993184285,-1.5671094004317505,-0.3029730668514571,35.0
0.48999442657297937,-0.7173856993184285,0.9142698380991574,-1.5025192435135428,32.0
-1.1215118199659329,-0.7173856993184285,0.11147067269209796,-0.9884280249440776,34.0
0.1998474918329787,-0.40107967941564,1.425142034267285,1.410664328380094,33.0
1.6499312684769527,-0.6119503593508324,0.6953246111699591,-0.9884280249440776,51.0
0.0543911438417857,1.7603447899200837,0.03848893038236563,0.38248189124116333,54.0
1.464885064254411,-1.666303759026795,-0.03449281192736669,-0.9884280249440776,34.0
-0.32803002060571007,0.4424030403251304,0.5493611265504945,0.7252093702874736,39.0
0.26428630037974843,-1.666303759026795,1.1332150650283543,-1.4168373737519653,34.0
-0.7854957868070198,-0.40107967941564,-0.5453650080954948,0.21111815171800824,35.0
-0.7815138283466132,2.392956829725661,-0.2534380388565643,1.8390736771879819,60.0
1.0131625073709953,-1.8244567689781894,0.6223428688602268,-1.3311555039903877,34.0
-0.7384780465245283,-0.45379734939943794,-0.03449281192736669,-0.3029730668514571,35.0
1.6244314191055038,-0.45379734939943794,1.3521602919575526,-0.6457005458977673,51.0
-0.48547053204024176,-0.3483620094318418,0.9142698380991574,0.8108912400490511,33.0
0.3406326962456184,-0.8755387092698231,-1.7130728850512158,0.1254362819564307,35.0
0.3702676563259509,0.020661680454744983,-1.9320181119804134,1.3249824586185164,34.0
1.4203177599475543,-0.3483620094318418,1.2791785496478203,0.8965731098106287,46.0
1.2400192754278048,-0.5592326893670343,0.18445241500183157,-0.3029730668514571,39.0
-1.1077281176029874,-1.0336917192212174,0.03848893038236563,-0.9884280249440776,35.0
0.14371719276609551,-0.5592326893670343,0.5493611265504945,0.9822549795722062,34.0
0.4234114865475292,2.761980519612248,-1.348164173502553,1.6677099376648266,64.0
1.083535965546255,1.0222974101469096,0.8412880957894238,0.5538456307643185,52.0
